ASVid	taxonomy
d89ae137d8f7904370bce103b7b29b35	"Acrostalagmus_luteoalbus|AJ292420|SH0941164.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Acrostalagmus;s__Acrostalagmus_luteoalbus"
9ff05adde11ddc8a435edacab1d33ccc	"Botryotrichum_atrogriseum|KX976589|SH0881584.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Botryotrichum;s__Botryotrichum_atrogriseum"
8dd714098656cb192fd1e432f59a7cd1	"Plectosphaerella_ramiseptata|LR026832|SH3177511.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_ramiseptata"
d423ac2aa4e440c0eedff454063c9ae7	"Brunneomyces_brunnescens|LN810520|SH0909374.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Brunneomyces;s__Brunneomyces_brunnescens"
4db6a4d269192ae9aeafd9db5f2a4fb3	"Cladosporium_sphaerospermum|DQ780343|SH4358594.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum"
e60516db097ae5dfe23434c7f59fed9d	"Linnemannia_gamsii|HQ630340|SH2972051.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_gamsii"
a39ba8b94eacb850e45f52b3b063a462	"Solicoccozyma_aeria|AF145324|SH1334237.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria"
dc51e63c691abe084ba2d8dea0861071	"Scutellinia_sp|UDB06704598|SH0937164.09FU|reps|k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Scutellinia;s__Scutellinia_sp"
5a6270661dbcdcb3776a66d5187a7fdd	"Carlosrosaea_foliicola|MK050282|SH1104384.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Carlosrosaea;s__Carlosrosaea_foliicola"
4fd7598be37bf392d9f8c1c9152c07db	"Bionectriaceae_sp|UDB01521219|SH1077211.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Bionectriaceae_gen_Incertae_sedis;s__Bionectriaceae_sp"
28292a0985dd9fcb6abf1f34e25dfef5	"Chytridiomycetes_sp|UDB038297|SH1133438.09FU|reps|k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_ord_Incertae_sedis;f__Chytridiomycetes_fam_Incertae_sedis;g__Chytridiomycetes_gen_Incertae_sedis;s__Chytridiomycetes_sp"
d7d0f7d863512fdaa48a2ff66a8e21e8	"Mortierella_sp|UDB04703371|SH0894906.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
a25e162917132b17a2e85578d39b1a45	"Apiotrichum_dulcitum|AF444428|SH3229235.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_dulcitum"
7dc1b37393580ddf93cc3cfba10fc781	"Acremonium_sclerotigenum|AJ621772|SH1291669.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sclerotigenum"
97b3e003e94cdf6794ed34cee2eee66e	"Chordomyces_antarcticus|KJ443241|SH1451459.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Chordomyces;s__Chordomyces_antarcticus"
298eeb88f720911f4d0c4470e2bf1ed5	"Fungi_sp|JX349978|SH1000543.09FU|reps|k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp"
85ece1aca5ebb7b2287b4daf5748930e	"Mortierella_sp|UDB04917145|SH0895021.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
0214f77c97b534f865dc5e077d8167dd	"Sordariales_sp|HG328105|SH1160574.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Sordariales_gen_Incertae_sedis;s__Sordariales_sp"
739b85470a064df6695453f886146d77	"Arthroderma_chiloniense|LR136986|SH1330386.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Arthroderma;s__Arthroderma_chiloniense"
cf5312980867f908f9a9db554a01c7e2	"Sordariomycetes_sp|UDB07567324|SH0929113.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
bfd341e04e6fa5f74af047c8e7b8999a	"Sordariomycetes_sp|UDB0837795|SH0929106.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
24e74d80a14c45a5cf5d90ec5a781cc7	"Neocosmospora_rubicola|KM231800|SH3195171.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola"
3d8ec7b904518a8fb822d86c44b80235	"Fusarium_variasi|MN954339|SH3189497.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_variasi"
25659cf9b575c0e6fe170b0e0460abd7	"Linnemannia_gamsii|HQ630340|SH2972051.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_gamsii"
b6c3cadfd1f737d4e11a4ce1b7b820fc	"Thaumatomonas_sp|UDB05489472|SH1199946.09FU|reps|k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Thaumatomonadida;f__Thaumatomastigidae;g__Thaumatomonas;s__Thaumatomonas_sp"
f15431d5502bfecff00cb6cbe31827a2	"Paecilomyces_sp|KM108770|SH1174831.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Paecilomyces;s__Paecilomyces_sp"
73eac0fdd857c0de4bd0463ca592221d	"Sodiomyces_alcalophilus|MH862344|SH0941168.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Sodiomyces;s__Sodiomyces_alcalophilus"
dc2d1dcb466dbc2d1e105a25eaba213c	"Pseudopyrenochaeta_terrestris|LT623228|SH0898067.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudopyrenochaetaceae;g__Pseudopyrenochaeta;s__Pseudopyrenochaeta_terrestris"
a70f8928b4dd4935ef251423c8926732	"Plectosphaerellaceae_sp|UDB04978078|SH0941063.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerellaceae_gen_Incertae_sedis;s__Plectosphaerellaceae_sp"
79225126e997063ac8b997fc724de769	"Sordariomycetes_sp|UDB0862306|SH0941087.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp"
70f25953137625f7d93448a323ac0df2	"Phialemonium_inflatum|HE610364|SH0971256.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium;s__Phialemonium_inflatum"
27878c4772753dab512118a60ad5170d	"Nectriaceae_sp|KX788197|SH0994942.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp"
828ab9b7d289116e1c87179a0ae93ba8	"Chrysosporium_lobatum|JX348642|SH1219499.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Chrysosporium;s__Chrysosporium_lobatum"
84ef085f1563032e5e339acfc5f30811	"Dactylonectria_macrodidyma|AY677290|SH0972898.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma"
2478d9c43912c93848e329426aa12347	"Humicola_nigrescens|AB625592|SH1240686.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_nigrescens"
751fa0a9637001c80791eb0f5536ffed	"Candida_sp|OM809269|SH1177929.09FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_sp"
b3b30aec1a7beb9fa62e68f1a09af64f	"Candida_sp|OM809269|SH1177929.09FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_sp"
cff39502485c43bde3548dd804b443ed	"GS05_sp|UDB02306685|SH0915273.09FU|reps|k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS05;f__GS05_fam_Incertae_sedis;g__GS05_gen_Incertae_sedis;s__GS05_sp"
bfc971e6bcd39e76a900a49d8e3f449c	"Geosmithia_sp|UDB03042562|SH0945922.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Geosmithia;s__Geosmithia_sp"
cb1dcf3034aff55fc21d7189c87f1ebb	"Eukaryota_sp|UDB01724067|SH1182399.09FU|reps|k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp"
