"taxon" "structural_zero (Soil.origin = Soil A)" "structural_zero (Soil.origin = Soil B)" "lfc_(Intercept)" "lfc_Soil.originSoil B" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoil B" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoil B" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoil B" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoil B" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoil B" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoil B" "passed_ss_Plant.conditionHealthy"
"1" "Ascomycota" FALSE FALSE 0.8966381455641 -0.382674660333901 -1.12656973596607 0.206669097544687 0.344000840980666 0.343772489404231 4.33852064104662 -1.11242361862542 -3.27707937862755 0.000803870165266566 0.286104537341798 0.00600688176803234 0.00884257181793223 0.856513950440891 0.0660756994483557 TRUE FALSE FALSE TRUE TRUE FALSE
"2" "Rozellomycota" FALSE FALSE 0.361518748187489 -1.82547187783365 1.3864662762869 0.478972694317398 0.672021520079928 0.671814120119088 0.754779452934583 -2.71638901923339 2.06376471521785 0.463836249201555 0.0176340005778059 0.0595975227793372 0.653557392407909 0.176340005778059 0.536377705014035 FALSE FALSE FALSE TRUE FALSE TRUE
"3" "Chytridiomycota" FALSE FALSE -0.23443817816389 0.132428706131509 0.620479545024505 0.447039109034997 0.718002036225258 0.717796828162697 -0.524424314172334 0.184440571823061 0.864422244122631 0.608809906856349 0.856513950440891 0.403024811556939 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE TRUE
"4" "Mortierellomycota" FALSE FALSE -0.676305970738034 0.870218390517989 0.766425445786315 0.403758390051222 0.620153135843727 0.619943001272979 -1.67502642026147 1.40323146045862 1.23628372965345 0.117801588918602 0.183979650520918 0.238224743383304 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE TRUE
"5" "Olpidiomycota" FALSE FALSE -0.813061680576333 0.772198430433977 1.17954231302863 0.68141335089168 0.853138982362524 0.852939164409914 -1.19319892912633 0.905126182718313 1.38291493959557 0.255849051743963 0.383211540539321 0.191882799085251 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE TRUE
"6" "Fungi_phy_Incertae_sedis" FALSE FALSE -0.42528392899426 1.48719498496543 -0.352595232148674 0.551137906829938 0.620051994402968 0.619841854209363 -0.771647030124326 2.3985004457528 -0.568847085356032 0.454122336943287 0.0321751941244793 0.579155321509748 0.653557392407909 0.289576747120313 0.734566481395762 FALSE FALSE FALSE TRUE FALSE TRUE
"7" "Basidiomycota" FALSE FALSE -0.537769695787847 2.33920624040552 -0.979634954001589 0.522925085647902 0.61113067727198 0.610920036492277 -1.02838764203013 3.82766947790524 -1.60354039069722 0.322522593760039 0.002094376749669 0.132823906557768 0.653557392407909 0.023038144246359 0.734566481395762 FALSE TRUE FALSE TRUE TRUE TRUE
"8" "Zoopagomycota" FALSE FALSE -0.56063656744764 0.360242587926158 1.03875832834511 0.289582394509687 0.452532380114347 0.452311304205404 -1.93601744469616 0.796059251793498 2.29655619633462 0.0848497345746962 0.446485780583928 0.0472649684513987 0.653557392407909 0.856513950440891 0.472649684513987 FALSE FALSE FALSE TRUE TRUE TRUE
"9" "Glomeromycota" FALSE FALSE -0.201065911411426 -0.503824907396185 0.156114406439527 0.220931978073763 0.435614839110292 0.435392515944523 -0.910080619222521 -1.15658343601243 0.358560151409259 0.404516143599619 0.299695620352131 0.734566481395762 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE FALSE
"10" "Blastocladiomycota" FALSE FALSE 0.0955917744586629 0.246719094801408 -0.625840426086392 0.183024831469619 0.358560954068572 0.358333333572226 0.522288553367855 0.688081320628751 -1.74653142047207 0.653557392407909 0.562490304148126 0.222832342597442 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE TRUE
"11" "Aphelidiomycota" FALSE TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "Kickxellomycota" TRUE FALSE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "Mucoromycota" FALSE FALSE -0.673531742958721 1.56518863209548 -1.17392616109433 0.140759485989761 0.271849680756347 0.27162379838743 -4.78498296738391 5.75755184902471 -4.32188257458908 0.131157638209619 0.109479114641306 0.144754142390369 0.653557392407909 0.856513950440891 0.734566481395762 FALSE FALSE FALSE TRUE TRUE FALSE
